Classification	EW27	EW28	EW29	EW30	EW31	EW32	EW33	EW34	EW35	EW36	EW37	EW38
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Trebouxiales|f__Trebouxiaceae|g__Parietochloris|s__Parietochloris_pseudoalveolaris	45	102	90	57	38	35	103	77	93	82	70	85
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Trebouxiales|f__Trebouxiaceae|g__Myrmecia|s__Myrmecia_israelensis	63	140	97	83	86	17	83	23	85	87	52	87
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Trebouxiales|f__Trebouxiaceae|g__Lobosphaera|s__Lobosphaera_incisa	104	224	201	151	111	21	122	84	180	225	70	149
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Oocystaceae|g__Binuclearia|s__Binuclearia_lauterbornii	133	134	148	163	59	68	257	106	172	128	58	193
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Geminella|s__Geminella_minor	0	217	0	88	67	0	0	0	122	140	55	94
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Helicosporidium|s__Helicosporidium_sp._ex_Simulium_jonesi	22	32	39	35	30	16	52	22	18	27	52	68
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Pseudochloris|s__Pseudochloris_wilhelmii	31	127	89	88	157	22	68	68	90	42	26	142
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Dicloster|s__Dicloster_acuatus	51	256	201	124	81	44	178	96	197	263	61	171
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Pseudochlorella|s__Pseudochlorella_signiensis	61	201	135	96	95	21	73	74	196	111	77	144
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Prototheca|s__Prototheca_ciferrii	0	0	0	0	79	0	0	0	40	0	0	45
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Prototheca|s__Prototheca_stagnorum	0	0	0	0	14	0	13	21	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Prototheca|s__Prototheca_bovis	0	103	0	76	0	0	129	72	55	126	48	65
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Prototheca|s__Prototheca_cutis	18	19	0	0	60	0	15	29	23	0	23	16
