Classification	EW01	EW02	EW03	EW04	EW05	EW06	EW07	EW08	EW09	EW10	EW11	EW12	EW13	EW14	EW15	EW16	EW17	EW18	EW19	EW20	EW21	EW22	EW23	EW24	EW25	EW26
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malpighiales|f__Euphorbiaceae|g__Mercurialis|s__Mercurialis_annua	7663	8965	8914	12200	10512	11016	22501	12256	8818	19730	10783	7633	14251	13753	11380	15638	11227	8679	7720	4160	869	913	748	647	835	551
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malpighiales|f__Euphorbiaceae|g__Manihot|s__Manihot_esculenta	9767	10407	11015	15872	13551	13384	28563	14513	11861	24634	13354	9471	17118	17096	13836	19277	13856	10882	9961	5143	1401	1433	1269	1300	1169	1197
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malpighiales|f__Euphorbiaceae|g__Hevea|s__Hevea_brasiliensis	13439	15455	15997	20956	18469	18375	39583	20408	16017	32855	18775	13319	24313	23815	18975	26681	19317	15638	13296	7490	2390	2371	2426	2146	1901	2154
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Lupinus|s__Lupinus_angustifolius	8010	10266	11636	12552	11366	10511	21740	12121	10575	18855	11401	7811	13574	13542	11654	15236	11788	9472	8580	4727	1523	1583	1536	1317	1375	1407
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Arachis|s__Arachis_ipaensis	5578	6400	8141	8033	8098	7377	16319	7820	7618	14641	7521	5912	10097	10377	7893	10294	8032	6576	5806	3152	1047	962	909	728	623	739
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Arachis|s__Arachis_duranensis	4918	6493	5611	7697	7110	6727	14773	7489	6237	12461	7117	4850	8307	8893	7772	9379	6872	5394	4786	2796	725	695	739	562	596	542
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Arachis|s__Arachis_hypogaea	16767	20487	20084	26659	22807	23390	47971	25073	20337	40394	23117	17234	29660	30735	26244	32615	24050	20256	17100	9433	2577	2649	2623	2410	2028	2403
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Arachis|s__Arachis_stenosperma	7845	9295	8934	12421	10867	11233	23177	12068	10198	19392	11002	7961	13346	13341	11369	14366	11200	9358	8759	4383	1056	1041	1033	911	855	878
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Lotus|s__Lotus_japonicus	4284	5423	5773	6565	5694	5352	11364	6458	5099	9178	6081	4472	6805	6912	7352	7893	6105	5323	4418	2937	936	1020	986	883	864	863
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Cicer|s__Cicer_arietinum	9264	10508	10216	15473	12973	12227	26331	13767	11369	22888	12992	9059	16348	17119	14121	18801	13444	9717	9138	4447	1046	1121	979	896	851	1008
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Medicago|s__Medicago_truncatula	4344	5533	6065	7294	6506	6613	13591	7383	6045	11543	7070	4783	8213	8344	6626	8620	6698	5312	4641	2562	383	443	412	359	310	327
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Trifolium|s__Trifolium_pratense	7436	8625	8708	11844	9875	9908	21395	11165	9315	18135	10757	7447	12294	13086	11388	13934	10309	8986	7502	4289	1108	1165	1160	936	872	1141
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Vicia|s__Vicia_villosa	12986	15101	14885	21419	18229	18470	35431	20096	16273	31532	19000	12617	21915	23135	18781	25741	18756	14585	13351	7266	2027	1955	1877	1622	1588	1678
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Pisum|s__Pisum_sativum	15597	18035	19793	23606	22260	21607	40838	22389	19594	37095	20494	15536	25393	27039	22626	28148	21177	18683	15347	8860	2416	2342	2380	2082	1917	2012
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Phaseolus|s__Phaseolus_vulgaris	7724	7975	8271	12042	10625	10574	20756	11226	8795	17837	10212	6683	12548	13647	10927	14653	10385	7992	7066	3788	1061	1170	1072	910	843	882
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Cajanus|s__Cajanus_cajan	10112	11569	12203	16092	14029	13285	28028	14947	11957	23592	13833	9482	16944	17275	14515	19653	14367	10866	9785	4911	1255	1285	1315	1083	1075	1007
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Glycine|s__Glycine_max	8014	8934	9242	13199	10639	10549	23066	11448	9734	18854	11107	8600	13768	14171	11421	15431	11625	9021	7469	4988	1396	1396	1404	1182	1092	1119
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Glycine|s__Glycine_soja	7941	9183	9572	11873	10405	11132	22846	11043	9758	17549	10473	7296	13112	13982	12216	14735	10599	8700	7419	4250	1505	1453	1477	1171	1029	1133
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Vigna|s__Vigna_angularis	6786	7890	8140	10738	8782	8987	19106	9973	8209	16175	9349	6809	11412	11836	10485	13607	9549	7437	6186	3550	637	619	571	532	533	554
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Vigna|s__Vigna_unguiculata	10641	11844	13040	16760	14980	15052	29944	15216	12444	25143	14623	9895	19355	19240	14833	20369	14936	12118	9729	5272	967	1019	1032	903	889	844
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae|g__Vigna|s__Vigna_radiata	11286	11205	11667	14778	15962	16142	23087	13962	11605	20571	13953	10090	16666	15761	13441	18700	13508	11554	11713	8395	4171	4459	5707	4805	3800	3480
p__Rhodophyta|c__Bangiophyceae|o__Cyanidiales|f__Cyanidiaceae|g__Cyanidioschyzon|s__Cyanidioschyzon_merolae	331	749	1096	320	519	323	717	422	711	415	472	366	486	376	687	289	341	634	360	343	34	15	34	37	38	18
