Classification	EW01	EW02	EW03	EW04	EW05	EW06	EW07	EW08	EW09	EW10	EW11	EW12	EW13	EW14	EW15	EW16	EW17	EW18	EW19	EW20	EW21	EW22	EW23	EW24	EW25	EW26
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Codiaceae|g__Codium|s__Codium_simulans	53	19	14	73	107	31	47	44	24	45	66	32	67	50	60	62	114	34	58	20	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Codiaceae|g__Codium|s__Codium_fragile	147	122	22	455	308	138	321	214	473	453	353	153	70	252	315	210	479	447	509	97	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Bryopsidaceae|g__Lambia|s__Lambia_antarctica	138	157	21	305	275	29	88	148	123	176	211	55	61	97	357	287	544	111	329	44	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Bryopsidaceae|g__Bryopsis|s__Bryopsis_plumosa	32	47	45	37	21	37	32	18	59	51	74	0	42	19	37	16	33	24	40	0	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Bryopsidaceae|g__Bryopsis|s__Bryopsis_hypnoides	57	73	78	58	40	25	63	56	78	96	109	34	68	52	74	80	51	106	57	35	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Bryopsidaceae|g__Bryopsis|s__Bryopsis_sp._HV04063	138	144	120	253	317	65	176	97	195	125	147	106	118	120	295	216	447	148	265	35	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Oltmansiellopsidales|g__Neodangemannia|s__Neodangemannia_microcystis	147	98	90	204	196	45	108	139	132	178	202	86	82	80	240	176	260	164	200	82	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulvales|f__Ulvaceae|g__Blidingia|s__Blidingia_minima	53	40	10	54	75	11	32	21	14	44	39	39	24	29	69	57	76	37	73	22	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulvales|f__Ulvaceae|g__Pseudoneochloris|s__Pseudoneochloris_marina	157	162	132	234	224	57	206	131	236	282	293	172	111	133	241	208	322	204	229	169	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulvales|f__Ulvaceae|g__Ulva|s__Ulva_sp._TM637	0	0	0	0	0	0	17	0	0	0	0	0	14	0	0	0	0	0	0	36	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulvales|f__Ulvaceae|g__Ulva|s__Ulva_gigantea	0	0	0	0	49	0	59	86	0	28	27	0	0	52	49	141	127	0	0	0	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulvales|f__Ulvaceae|g__Ulva|s__Ulva_sp._TM708	0	0	0	0	29	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulvales|f__Ulvaceae|g__Ulva|s__Ulva_expansa	0	0	19	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulvales|f__Ulvaceae|g__Ulva|s__Ulva_torta	0	92	0	0	0	0	44	0	0	0	0	99	19	0	0	0	0	0	0	103	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulvales|f__Ulvaceae|g__Ulva|s__Ulva_fenestrata	32	166	57	0	0	0	67	207	0	36	26	109	0	0	135	0	52	214	42	0	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulvales|f__Ulvaceae|g__Ulva|s__Ulva_compressa	86	0	0	0	0	106	0	0	0	0	130	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulvales|f__Ulvaceae|g__Ulva|s__Ulva_australis	116	0	143	248	102	0	222	0	214	176	0	0	151	0	368	0	0	0	207	0	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulvales|f__Ulvaceae|g__Ulva|s__Ulva_flexuosa	56	0	42	119	147	78	0	0	0	0	63	87	87	143	0	143	118	0	0	112	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulvales|f__Ulvaceae|g__Ulva|s__Ulva_rigida	36	93	23	30	36	0	31	20	29	38	34	68	16	50	132	35	59	104	24	83	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulotrichales|f__Ulotrichaceae|g__Gloeotilopsis|s__Gloeotilopsis_sterilis	113	390	110	335	146	63	136	131	343	342	543	125	124	161	291	124	267	67	372	119	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulotrichales|f__Ulotrichaceae|g__Capsosiphon|s__Capsosiphon_fulvescens	171	120	68	157	153	55	89	52	199	135	192	135	166	125	193	119	189	124	108	175	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulotrichales|f__Sarcinofilaceae|g__Sarcinofilum|s__Sarcinofilum_mucosum	305	296	171	673	1168	131	237	118	105	202	352	741	238	138	669	407	391	259	137	719	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulotrichales|f__Hazeniaceae|g__Hazenia|s__Hazenia_capsulata	331	370	133	356	241	121	213	159	214	134	293	781	252	190	707	282	150	260	73	982	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulotrichales|f__Tupiellaceae|g__Tupiella|s__Tupiella_akineta	9108	11030	3646	11727	4503	2538	6391	4027	2839	1679	5443	30751	8825	5320	18258	7619	2673	7718	513	36821	0	17	0	19	19	0
k__Viridiplantae|p__Chlorophyta|c__Chlorodendrophyceae|o__Chlorodendrales|f__Chlorodendraceae|g__Scherffelia|s__Scherffelia_dubia	150	150	204	146	161	87	293	86	392	122	95	85	64	56	334	102	190	217	199	48	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|g__Elliptochloris|s__Elliptochloris_bilobata	0	0	16	0	107	27	12	0	0	21	17	12	18	0	0	14	18	0	17	0	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Watanabeales|g__Jaagichlorella|s__Jaagichlorella_hainangensis	0	65	0	11	19	0	37	16	24	26	17	16	14	0	53	0	14	0	35	10	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Watanabeales|g__Jaagichlorella|s__Jaagichlorella_roystonensis	18	57	60	32	24	0	42	88	51	36	57	0	35	62	84	49	53	31	53	0	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Watanabeales|g__Watanabea|s__Watanabea_reniformis	64	43	22	83	72	0	50	32	321	95	97	25	24	33	171	62	109	67	82	28	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|s__Trebouxiophyceae_sp._MX-AZ01	83	111	118	120	91	137	102	107	406	77	116	87	103	83	90	105	56	122	52	53	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Microthamniales|f__Microthamniaceae|g__Fusochloris|s__Fusochloris_perforata	106	71	75	114	107	22	100	24	252	68	87	90	37	67	113	44	71	90	56	102	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Microthamniales|f__Microthamniaceae|g__Microthamnion|s__Microthamnion_kuetzingianum	116	91	36	260	163	28	102	109	73	131	123	31	34	81	272	190	338	186	235	30	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|f__Coccomyxaceae|g__Paradoxia|s__Paradoxia_multiseta	21	0	0	0	13	0	0	0	0	0	17	0	16	0	0	0	0	18	0	0	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|g__Xylochloris|s__Xylochloris_irregularis	26	78	142	103	100	0	229	45	292	137	92	25	13	20	99	47	140	117	68	16	53	41	27	48	30	41
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|g__Choricystis|s__Choricystis_parasitica	95	173	241	189	275	40	271	148	208	176	207	72	135	136	328	192	423	143	282	56	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|g__Coccomyxa|s__Coccomyxa_subellipsoidea	72	75	126	61	65	75	130	73	257	41	62	50	42	50	62	38	35	120	49	55	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|g__Botryococcus|s__Botryococcus_braunii	77	170	324	69	97	44	263	58	217	47	63	70	60	61	226	66	129	148	81	46	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Trebouxiales|f__Trebouxiaceae|g__Symbiochloris|s__Symbiochloris_handae	39	48	107	35	66	48	103	18	129	31	38	0	43	40	65	18	30	97	0	17	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Trebouxiales|f__Trebouxiaceae|g__Parietochloris|s__Parietochloris_pseudoalveolaris	90	100	159	103	114	0	124	85	100	131	131	40	100	62	115	93	103	102	151	44	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Trebouxiales|f__Trebouxiaceae|g__Trebouxia|s__Trebouxia_lynnae	99	126	93	237	335	99	118	63	291	160	190	105	98	242	233	187	317	123	152	65	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Trebouxiales|f__Trebouxiaceae|g__Myrmecia|s__Myrmecia_israelensis	100	187	158	128	222	53	250	138	142	38	93	64	58	96	232	128	228	180	184	53	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Trebouxiales|f__Trebouxiaceae|g__Lobosphaera|s__Lobosphaera_incisa	101	316	370	78	112	49	409	102	489	91	125	54	38	29	172	71	64	241	73	38	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Prasiolales|f__Stichococcaceae|g__Stichococcus|s__Stichococcus_bacillaris	119	36	76	110	155	19	76	78	67	59	119	30	25	55	133	129	223	133	146	36	54	0	80	89	91	73
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Prasiolales|f__Prasiolaceae|g__Edaphochlorella|s__Edaphochlorella_mirabilis	229	361	461	458	646	163	536	187	470	251	308	105	322	242	498	307	626	421	401	140	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Prasiolales|f__Koliellaceae|g__Koliella|s__Koliella_longiseta	82	120	198	233	157	24	144	110	349	324	238	53	54	66	156	111	204	189	180	54	0	0	0	0	0	0
